,marketplace,title,price,sold,city,link,extraction_date
250,tokopedia,VGA GIGABYTE GEFORCE RTX 2060 WINDFORCE OC 6G,Rp9.848.000,,Jakarta Barat,https://www.tokopedia.com/sinagogue/vga-gigabyte-geforce-rtx-2060-windforce-oc-6g?whid=0,2021-10-26
251,tokopedia,VGA ASUS RTX 2060 STRIX OC 6GB,Rp7.500.000,,Jakarta Pusat,https://www.tokopedia.com/archive-naico-1630675006/vga-asus-rtx-2060-strix-oc-6gb?whid=0,2021-10-26
252,tokopedia,PC Gaming AMD Ryzen 5 3600 VGA RTX 2060 8GB Hardisk 1TB RAM 16GB Free,Rp18.040.000,,Jakarta Barat,https://www.tokopedia.com/pancaco-1/pc-gaming-amd-ryzen-5-3600-vga-rtx-2060-8gb-hardisk-1tb-ram-16gb-free?whid=0,2021-10-26
253,tokopedia,VGA RTX 3070 GAINWARD PHOENIX BUKAN RTX 3060 3080 3090 2060 SUPER,Rp16.650.000,Terjual 1,Kota Tangerang,https://www.tokopedia.com/yourbeater/vga-rtx-3070-gainward-phoenix-bukan-rtx-3060-3080-3090-2060-super?whid=0,2021-10-26
254,tokopedia,Lenovo Legion 5 VGA RTX 2060 Ryzen 5 + SSD Sata seagate SATA 1 TB - Hitam,Rp19.000.000,,Kab. Bandung,https://www.tokopedia.com/archive-zaka-adi/lenovo-legion-5-vga-rtx-2060-ryzen-5-ssd-sata-seagate-sata-1-tb-hitam?whid=0,2021-10-26
255,tokopedia,BEBAS ONGKIR - VGA MSI RTX 2060 SUPER GAMING X,Rp19.188.000,,Kab. Tangerang,https://www.tokopedia.com/buanarayapersada15/bebas-ongkir-vga-msi-rtx-2060-super-gaming-x?whid=0,2021-10-26
256,tokopedia,Gigabyte RTX 2060 VGA,Rp10.995.000,Terjual 10,Jakarta Barat,https://www.tokopedia.com/exagonindonesia/gigabyte-rtx-2060-vga?whid=0,2021-10-26
257,tokopedia,VGA MSI GeForce RTX 2060 GAMING Z 6G MURAH BARU NEW,Rp10.051.000,,Jakarta Barat,https://www.tokopedia.com/farhan11-1/vga-msi-geforce-rtx-2060-gaming-z-6g-murah-baru-new?whid=0,2021-10-26
258,tokopedia,VGA Colorful Geforce RTX 2060 V2 6GB 6 GB GDDR6,Rp6.640.000,,Jakarta Utara,https://www.tokopedia.com/budstorei/vga-colorful-geforce-rtx-2060-v2-6gb-6-gb-gddr6?whid=0,2021-10-26
259,tokopedia,VGA MSI RTX 2060 6GB VENTUS GP OC,Rp11.250.000,Terjual 5,Jakarta Pusat,https://www.tokopedia.com/46comp/vga-msi-rtx-2060-6gb-ventus-gp-oc?whid=0,2021-10-26
